table,demographic,file,n_rows
1,"Married men, Employed full-time, Regardless of spousal employment, All ages, Youngest child ages 0 or 1",dvd_table_001.csv,33
2,"Married men, Employed full-time, Regardless of spousal employment, All ages, Youngest child ages 2 through 5",dvd_table_002.csv,33
3,"Married men, Employed full-time, Regardless of spousal employment, All ages, Youngest child ages 6 through 12",dvd_table_003.csv,33
4,"Married men, Employed full-time, Regardless of spousal employment, All ages, Youngest child ages 13 through 17",dvd_table_004.csv,33
5,"Married men, Employed full-time, Regardless of spousal employment, All ages, No minor children in home",dvd_table_005.csv,33
6,"Married men, Employed full-time, Regardless of spousal employment, Less than 45 years old, No minor children in home",dvd_table_006.csv,33
7,"Married men, Employed full-time, Regardless of spousal employment, Ages 45 through 54, No minor children in home",dvd_table_007.csv,33
8,"Married men, Employed full-time, Regardless of spousal employment, Ages 55 & over, No minor children in home",dvd_table_008.csv,33
9,"Married men, Employed full-time, Regardless of spousal employment, All ages, Living with spouse only",dvd_table_009.csv,33
10,"Married men, Employed full-time, Regardless of spousal employment, Less than 45 years old, Living with spouse only",dvd_table_010.csv,33
11,"Married men, Employed full-time, Regardless of spousal employment, Ages 45 through 54, Living with spouse only",dvd_table_011.csv,33
12,"Married men, Employed full-time, Regardless of spousal employment, Ages 55 & over, Living with spouse only",dvd_table_012.csv,33
13,"Married men, Employed full-time, Spouse employed, All ages, Youngest child ages 0 or 1",dvd_table_013.csv,33
14,"Married men, Employed full-time, Spouse employed, All ages, Youngest child ages 2 through 5",dvd_table_014.csv,33
15,"Married men, Employed full-time, Spouse employed, All ages, Youngest child ages 6 through 12",dvd_table_015.csv,33
16,"Married men, Employed full-time, Spouse employed, All ages, Youngest child ages 13 through 17",dvd_table_016.csv,33
17,"Married men, Employed full-time, Spouse employed, All ages, No minor children in home",dvd_table_017.csv,33
18,"Married men, Employed full-time, Spouse employed, Less than 45 years old, No minor children in home",dvd_table_018.csv,33
19,"Married men, Employed full-time, Spouse employed, Ages 45 through 54, No minor children in home",dvd_table_019.csv,33
20,"Married men, Employed full-time, Spouse employed, Ages 55 & over, No minor children in home",dvd_table_020.csv,33
21,"Married men, Employed full-time, Spouse employed, All ages, Living with spouse only",dvd_table_021.csv,33
22,"Married men, Employed full-time, Spouse employed, Less than 45 years old, Living with spouse only",dvd_table_022.csv,33
23,"Married men, Employed full-time, Spouse employed, Ages 45 through 54, Living with spouse only",dvd_table_023.csv,33
24,"Married men, Employed full-time, Spouse employed, Ages 55 & over, Living with spouse only",dvd_table_024.csv,33
25,"Married men, Employed full-time, Spouse not employed, All ages, Youngest child ages 0 or 1",dvd_table_025.csv,33
26,"Married men, Employed full-time, Spouse not employed, All ages, Youngest child ages 2 through 5",dvd_table_026.csv,33
27,"Married men, Employed full-time, Spouse not employed, All ages, Youngest child ages 6 through 12",dvd_table_027.csv,33
28,"Married men, Employed full-time, Spouse not employed, All ages, Youngest child ages 13 through 17",dvd_table_028.csv,33
29,"Married men, Employed full-time, Spouse not employed, All ages, No minor children in home",dvd_table_029.csv,33
30,"Married men, Employed full-time, Spouse not employed, Less than 45 years old, No minor children in home",dvd_table_030.csv,33
31,"Married men, Employed full-time, Spouse not employed, Ages 45 through 54, No minor children in home",dvd_table_031.csv,33
32,"Married men, Employed full-time, Spouse not employed, Ages 55 & over, No minor children in home",dvd_table_032.csv,33
33,"Married men, Employed full-time, Spouse not employed, All ages, Living with spouse only",dvd_table_033.csv,33
34,"Married men, Employed full-time, Spouse not employed, Less than 45 years old, Living with spouse only",dvd_table_034.csv,33
35,"Married men, Employed full-time, Spouse not employed, Ages 45 through 54, Living with spouse only",dvd_table_035.csv,33
36,"Married men, Employed full-time, Spouse not employed, Ages 55 & over, Living with spouse only",dvd_table_036.csv,33
37,"Married men, Employed part-time, Regardless of spousal employment, All ages, Youngest child ages 0 or 1",dvd_table_037.csv,33
38,"Married men, Employed part-time, Regardless of spousal employment, All ages, Youngest child ages 2 through 5",dvd_table_038.csv,33
39,"Married men, Employed part-time, Regardless of spousal employment, All ages, Youngest child ages 6 through 12",dvd_table_039.csv,33
40,"Married men, Employed part-time, Regardless of spousal employment, All ages, Minor children in home",dvd_table_040.csv,33
41,"Married men, Employed part-time, Regardless of spousal employment, All ages, No minor children in home",dvd_table_041.csv,33
42,"Married men, Employed part-time, Regardless of spousal employment, Less than 45 years old, No minor children in home",dvd_table_042.csv,33
43,"Married men, Employed part-time, Regardless of spousal employment, Ages 55 & over, No minor children in home",dvd_table_043.csv,33
44,"Married men, Employed part-time, Regardless of spousal employment, All ages, Living with spouse only",dvd_table_044.csv,33
45,"Married men, Employed part-time, Regardless of spousal employment, Less than 45 years old, Living with spouse only",dvd_table_045.csv,33
46,"Married men, Employed part-time, Regardless of spousal employment, Ages 55 & over, Living with spouse only",dvd_table_046.csv,33
47,"Married men, Employed part-time, Spouse employed, All ages, Minor children in home",dvd_table_047.csv,33
48,"Married men, Employed part-time, Spouse employed, All ages, No minor children in home",dvd_table_048.csv,33
49,"Married men, Employed part-time, Spouse employed, Less than 45 years old, No minor children in home",dvd_table_049.csv,33
50,"Married men, Employed part-time, Spouse employed, Ages 55 & over, No minor children in home",dvd_table_050.csv,33
51,"Married men, Employed part-time, Spouse employed, All ages, Living with spouse only",dvd_table_051.csv,33
52,"Married men, Employed part-time, Spouse employed, Less than 45 years old, Living with spouse only",dvd_table_052.csv,33
53,"Married men, Employed part-time, Spouse employed, Ages 55 & over, Living with spouse only",dvd_table_053.csv,33
54,"Married men, Employed part-time, Spouse not employed, All ages, Minor children in home",dvd_table_054.csv,33
55,"Married men, Employed part-time, Spouse not employed, All ages, No minor children in home",dvd_table_055.csv,33
56,"Married men, Employed part-time, Spouse not employed, Ages 55 & over, No minor children in home",dvd_table_056.csv,33
57,"Married men, Employed part-time, Spouse not employed, All ages, Living with spouse only",dvd_table_057.csv,33
58,"Married men, Employed part-time, Spouse not employed, Ages 55 & over, Living with spouse only",dvd_table_058.csv,33
59,"Married men, Unemployed, Regardless of spousal employment, All ages, Youngest child ages 2 through 5",dvd_table_059.csv,33
60,"Married men, Unemployed, Regardless of spousal employment, All ages, Youngest child ages 6 through 12",dvd_table_060.csv,33
61,"Married men, Unemployed, Regardless of spousal employment, All ages, Minor children in home",dvd_table_061.csv,33
62,"Married men, Unemployed, Regardless of spousal employment, All ages, No minor children in home",dvd_table_062.csv,33
63,"Married men, Unemployed, Regardless of spousal employment, Ages 55 & over, No minor children in home",dvd_table_063.csv,33
64,"Married men, Unemployed, Regardless of spousal employment, All ages, Living with spouse only",dvd_table_064.csv,33
65,"Married men, Unemployed, Regardless of spousal employment, Ages 55 & over, Living with spouse only",dvd_table_065.csv,33
66,"Married men, Unemployed, Spouse employed, All ages, Minor children in home",dvd_table_066.csv,33
67,"Married men, Unemployed, Spouse employed, All ages, No minor children in home",dvd_table_067.csv,33
68,"Married men, Unemployed, Spouse employed, All ages, Living with spouse only",dvd_table_068.csv,33
69,"Married men, Unemployed, Spouse not employed, All ages, Minor children in home",dvd_table_069.csv,33
70,"Married men, Unemployed, Spouse not employed, All ages, No minor children in home",dvd_table_070.csv,33
71,"Married men, Disabled and unable to work, Regardless of spousal employment, All ages, Minor children in home",dvd_table_071.csv,33
72,"Married men, Disabled and unable to work, Regardless of spousal employment, Less than 45 years old, Minor children in home",dvd_table_072.csv,33
73,"Married men, Disabled and unable to work, Regardless of spousal employment, Ages 45 through 54, Minor children in home",dvd_table_073.csv,33
74,"Married men, Disabled and unable to work, Regardless of spousal employment, All ages, No minor children in home",dvd_table_074.csv,33
75,"Married men, Disabled and unable to work, Regardless of spousal employment, Ages 45 through 54, No minor children in home",dvd_table_075.csv,33
76,"Married men, Disabled and unable to work, Regardless of spousal employment, Ages 55 & over, No minor children in home",dvd_table_076.csv,33
77,"Married men, Disabled and unable to work, Regardless of spousal employment, All ages, Living with spouse only",dvd_table_077.csv,33
78,"Married men, Disabled and unable to work, Regardless of spousal employment, Ages 55 & over, Living with spouse only",dvd_table_078.csv,33
79,"Married men, Disabled and unable to work, Spouse employed, All ages, Minor children in home",dvd_table_079.csv,33
80,"Married men, Disabled and unable to work, Spouse employed, All ages, No minor children in home",dvd_table_080.csv,33
81,"Married men, Disabled and unable to work, Spouse employed, Ages 55 & over, No minor children in home",dvd_table_081.csv,33
82,"Married men, Disabled and unable to work, Spouse employed, All ages, Living with spouse only",dvd_table_082.csv,33
83,"Married men, Disabled and unable to work, Spouse employed, Ages 55 & over, Living with spouse only",dvd_table_083.csv,33
84,"Married men, Disabled and unable to work, Spouse not employed, All ages, Minor children in home",dvd_table_084.csv,33
85,"Married men, Disabled and unable to work, Spouse not employed, All ages, No minor children in home",dvd_table_085.csv,33
86,"Married men, Disabled and unable to work, Spouse not employed, Ages 55 & over, No minor children in home",dvd_table_086.csv,33
87,"Married men, Disabled and unable to work, Spouse not employed, All ages, Living with spouse only",dvd_table_087.csv,33
88,"Married men, Disabled and unable to work, Spouse not employed, Ages 55 & over, Living with spouse only",dvd_table_088.csv,33
89,"Married men, Homemaker not in labor force, Regardless of spousal employment, All ages, Minor children in home",dvd_table_089.csv,33
90,"Married men, Homemaker not in labor force, Spouse employed, All ages, Minor children in home",dvd_table_090.csv,33
91,"Married men, Retired, Regardless of spousal employment, All ages, Minor children in home",dvd_table_091.csv,33
92,"Married men, Retired, Regardless of spousal employment, All ages, No minor children in home",dvd_table_092.csv,33
93,"Married men, Retired, Regardless of spousal employment, Under age 62, No minor children in home",dvd_table_093.csv,33
94,"Married men, Retired, Regardless of spousal employment, Ages 62 through 74, No minor children in home",dvd_table_094.csv,33
95,"Married men, Retired, Regardless of spousal employment, Ages 75 & over, No minor children in home",dvd_table_095.csv,33
96,"Married men, Retired, Regardless of spousal employment, All ages, Living with spouse only",dvd_table_096.csv,33
97,"Married men, Retired, Regardless of spousal employment, Under age 62, Living with spouse only",dvd_table_097.csv,33
98,"Married men, Retired, Regardless of spousal employment, Ages 62 through 74, Living with spouse only",dvd_table_098.csv,33
99,"Married men, Retired, Regardless of spousal employment, Ages 75 & over, Living with spouse only",dvd_table_099.csv,33
100,"Married men, Retired, Spouse employed, All ages, No minor children in home",dvd_table_100.csv,33
101,"Married men, Retired, Spouse employed, Under age 62, No minor children in home",dvd_table_101.csv,33
102,"Married men, Retired, Spouse employed, Ages 62 through 74, No minor children in home",dvd_table_102.csv,33
103,"Married men, Retired, Spouse employed, Ages 75 & over, No minor children in home",dvd_table_103.csv,33
104,"Married men, Retired, Spouse employed, All ages, Living with spouse only",dvd_table_104.csv,33
105,"Married men, Retired, Spouse employed, Under age 62, Living with spouse only",dvd_table_105.csv,33
106,"Married men, Retired, Spouse employed, Ages 62 through 74, Living with spouse only",dvd_table_106.csv,33
107,"Married men, Retired, Spouse not employed, All ages, Minor children in home",dvd_table_107.csv,33
108,"Married men, Retired, Spouse not employed, All ages, No minor children in home",dvd_table_108.csv,33
109,"Married men, Retired, Spouse not employed, Under age 62, No minor children in home",dvd_table_109.csv,33
110,"Married men, Retired, Spouse not employed, Ages 62 through 74, No minor children in home",dvd_table_110.csv,33
111,"Married men, Retired, Spouse not employed, Ages 75 & over, No minor children in home",dvd_table_111.csv,33
112,"Married men, Retired, Spouse not employed, All ages, Living with spouse only",dvd_table_112.csv,33
113,"Married men, Retired, Spouse not employed, Under age 62, Living with spouse only",dvd_table_113.csv,33
114,"Married men, Retired, Spouse not employed, Ages 62 through 74, Living with spouse only",dvd_table_114.csv,33
115,"Married men, Retired, Spouse not employed, Ages 75 & over, Living with spouse only",dvd_table_115.csv,33
116,"Married women, Employed full-time, Regardless of spousal employment, All ages, Youngest child ages 0 or 1",dvd_table_116.csv,33
117,"Married women, Employed full-time, Regardless of spousal employment, All ages, Youngest child ages 2 through 5",dvd_table_117.csv,33
118,"Married women, Employed full-time, Regardless of spousal employment, All ages, Youngest child ages 6 through 12",dvd_table_118.csv,33
119,"Married women, Employed full-time, Regardless of spousal employment, All ages, Youngest child ages 13 through 17",dvd_table_119.csv,33
120,"Married women, Employed full-time, Regardless of spousal employment, All ages, No minor children in home",dvd_table_120.csv,33
121,"Married women, Employed full-time, Regardless of spousal employment, Less than 45 years old, No minor children in home",dvd_table_121.csv,33
122,"Married women, Employed full-time, Regardless of spousal employment, Ages 45 through 54, No minor children in home",dvd_table_122.csv,33
123,"Married women, Employed full-time, Regardless of spousal employment, Ages 55 & over, No minor children in home",dvd_table_123.csv,33
124,"Married women, Employed full-time, Regardless of spousal employment, All ages, Living with spouse only",dvd_table_124.csv,33
125,"Married women, Employed full-time, Regardless of spousal employment, Less than 45 years old, Living with spouse only",dvd_table_125.csv,33
126,"Married women, Employed full-time, Regardless of spousal employment, Ages 45 through 54, Living with spouse only",dvd_table_126.csv,33
127,"Married women, Employed full-time, Regardless of spousal employment, Ages 55 & over, Living with spouse only",dvd_table_127.csv,33
128,"Married women, Employed full-time, Spouse employed, All ages, Youngest child ages 0 or 1",dvd_table_128.csv,33
129,"Married women, Employed full-time, Spouse employed, All ages, Youngest child ages 2 through 5",dvd_table_129.csv,33
130,"Married women, Employed full-time, Spouse employed, All ages, Youngest child ages 6 through 12",dvd_table_130.csv,33
131,"Married women, Employed full-time, Spouse employed, All ages, Youngest child ages 13 through 17",dvd_table_131.csv,33
132,"Married women, Employed full-time, Spouse employed, All ages, No minor children in home",dvd_table_132.csv,33
133,"Married women, Employed full-time, Spouse employed, Less than 45 years old, No minor children in home",dvd_table_133.csv,33
134,"Married women, Employed full-time, Spouse employed, Ages 45 through 54, No minor children in home",dvd_table_134.csv,33
135,"Married women, Employed full-time, Spouse employed, Ages 55 & over, No minor children in home",dvd_table_135.csv,33
136,"Married women, Employed full-time, Spouse employed, All ages, Living with spouse only",dvd_table_136.csv,33
137,"Married women, Employed full-time, Spouse employed, Less than 45 years old, Living with spouse only",dvd_table_137.csv,33
138,"Married women, Employed full-time, Spouse employed, Ages 45 through 54, Living with spouse only",dvd_table_138.csv,33
139,"Married women, Employed full-time, Spouse employed, Ages 55 & over, Living with spouse only",dvd_table_139.csv,33
140,"Married women, Employed full-time, Spouse not employed, All ages, Youngest child ages 2 through 5",dvd_table_140.csv,33
141,"Married women, Employed full-time, Spouse not employed, All ages, Youngest child ages 6 through 12",dvd_table_141.csv,33
142,"Married women, Employed full-time, Spouse not employed, All ages, Youngest child ages 13 through 17",dvd_table_142.csv,33
143,"Married women, Employed full-time, Spouse not employed, All ages, No minor children in home",dvd_table_143.csv,33
144,"Married women, Employed full-time, Spouse not employed, Less than 45 years old, No minor children in home",dvd_table_144.csv,33
145,"Married women, Employed full-time, Spouse not employed, Ages 45 through 54, No minor children in home",dvd_table_145.csv,33
146,"Married women, Employed full-time, Spouse not employed, Ages 55 & over, No minor children in home",dvd_table_146.csv,33
147,"Married women, Employed full-time, Spouse not employed, All ages, Living with spouse only",dvd_table_147.csv,33
148,"Married women, Employed full-time, Spouse not employed, Less than 45 years old, Living with spouse only",dvd_table_148.csv,33
149,"Married women, Employed full-time, Spouse not employed, Ages 45 through 54, Living with spouse only",dvd_table_149.csv,33
150,"Married women, Employed full-time, Spouse not employed, Ages 55 & over, Living with spouse only",dvd_table_150.csv,33
151,"Married women, Employed part-time, Regardless of spousal employment, All ages, Youngest child ages 0 or 1",dvd_table_151.csv,33
152,"Married women, Employed part-time, Regardless of spousal employment, All ages, Youngest child ages 2 through 5",dvd_table_152.csv,33
153,"Married women, Employed part-time, Regardless of spousal employment, All ages, Youngest child ages 6 through 12",dvd_table_153.csv,33
154,"Married women, Employed part-time, Regardless of spousal employment, All ages, Youngest child ages 13 through 17",dvd_table_154.csv,33
155,"Married women, Employed part-time, Regardless of spousal employment, All ages, No minor children in home",dvd_table_155.csv,33
156,"Married women, Employed part-time, Regardless of spousal employment, Less than 45 years old, No minor children in home",dvd_table_156.csv,33
157,"Married women, Employed part-time, Regardless of spousal employment, Ages 45 through 54, No minor children in home",dvd_table_157.csv,33
158,"Married women, Employed part-time, Regardless of spousal employment, Ages 55 & over, No minor children in home",dvd_table_158.csv,33
159,"Married women, Employed part-time, Regardless of spousal employment, All ages, Living with spouse only",dvd_table_159.csv,33
160,"Married women, Employed part-time, Regardless of spousal employment, Less than 45 years old, Living with spouse only",dvd_table_160.csv,33
161,"Married women, Employed part-time, Regardless of spousal employment, Ages 45 through 54, Living with spouse only",dvd_table_161.csv,33
162,"Married women, Employed part-time, Regardless of spousal employment, Ages 55 & over, Living with spouse only",dvd_table_162.csv,33
163,"Married women, Employed part-time, Spouse employed, All ages, Youngest child ages 0 or 1",dvd_table_163.csv,33
164,"Married women, Employed part-time, Spouse employed, All ages, Youngest child ages 2 through 5",dvd_table_164.csv,33
165,"Married women, Employed part-time, Spouse employed, All ages, Youngest child ages 6 through 12",dvd_table_165.csv,33
166,"Married women, Employed part-time, Spouse employed, All ages, Youngest child ages 13 through 17",dvd_table_166.csv,33
167,"Married women, Employed part-time, Spouse employed, All ages, No minor children in home",dvd_table_167.csv,33
168,"Married women, Employed part-time, Spouse employed, Less than 45 years old, No minor children in home",dvd_table_168.csv,33
169,"Married women, Employed part-time, Spouse employed, Ages 45 through 54, No minor children in home",dvd_table_169.csv,33
170,"Married women, Employed part-time, Spouse employed, Ages 55 & over, No minor children in home",dvd_table_170.csv,33
171,"Married women, Employed part-time, Spouse employed, All ages, Living with spouse only",dvd_table_171.csv,33
172,"Married women, Employed part-time, Spouse employed, Less than 45 years old, Living with spouse only",dvd_table_172.csv,33
173,"Married women, Employed part-time, Spouse employed, Ages 45 through 54, Living with spouse only",dvd_table_173.csv,33
174,"Married women, Employed part-time, Spouse employed, Ages 55 & over, Living with spouse only",dvd_table_174.csv,33
175,"Married women, Employed part-time, Spouse not employed, All ages, No minor children in home",dvd_table_175.csv,33
