age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
18,34.23,35.5,37.0,9.67,-0.39,3.22,21.5,28.5,41.5,46.5,34.23,0.16
19,33.47,34.5,36.0,9.62,-0.38,3.2,21.5,27.5,40.5,45.5,33.46,0.15
20,32.69,33.5,35.0,9.58,-0.38,3.17,20.5,27.5,39.5,44.5,32.68,0.16
21,31.88,33.5,34.0,9.53,-0.37,3.14,19.5,26.5,39.5,43.5,31.88,0.16
22,31.06,32.5,33.0,9.48,-0.35,3.11,18.5,25.5,38.5,43.5,31.05,0.16
23,30.22,31.5,33.0,9.43,-0.34,3.08,18.5,24.5,37.5,42.5,30.21,0.15
24,29.36,30.5,32.0,9.38,-0.33,3.05,17.5,23.5,36.5,41.5,29.36,0.16
25,28.51,29.5,31.0,9.32,-0.32,3.02,16.5,23.5,35.5,40.5,28.5,0.16
26,27.65,28.5,30.0,9.26,-0.3,2.99,15.5,22.5,34.5,39.5,27.65,0.15
27,26.79,27.5,29.0,9.2,-0.29,2.96,14.5,21.5,33.5,38.5,26.78,0.15
28,25.92,27.5,28.0,9.14,-0.28,2.93,14.5,20.5,32.5,37.5,25.9,0.15
29,25.05,26.5,27.0,9.07,-0.26,2.9,13.5,19.5,31.5,36.5,25.03,0.14
30,24.19,25.5,27.0,9.0,-0.24,2.87,12.5,18.5,31.5,35.5,24.17,0.13
31,23.34,24.5,26.0,8.93,-0.23,2.84,11.5,17.5,30.5,34.5,23.32,0.15
32,22.5,23.5,25.0,8.85,-0.21,2.81,11.5,17.5,29.5,33.5,22.48,0.15
33,21.66,22.5,24.0,8.77,-0.19,2.78,10.5,16.5,28.5,32.5,21.64,0.15
34,20.83,21.5,23.0,8.68,-0.17,2.75,9.5,15.5,27.5,32.5,20.81,0.15
35,20.0,20.5,22.0,8.6,-0.15,2.72,8.5,14.5,26.5,31.5,19.98,0.16
36,19.17,20.5,21.0,8.5,-0.12,2.69,8.5,13.5,25.5,30.5,19.15,0.15
37,18.35,19.5,21.0,8.41,-0.1,2.66,7.5,13.5,24.5,29.5,18.33,0.16
38,17.52,18.5,20.0,8.31,-0.07,2.63,6.5,12.5,23.5,28.5,17.51,0.15
39,16.7,17.5,19.0,8.2,-0.04,2.6,5.5,11.5,23.5,27.5,16.69,0.16
40,15.88,16.5,18.0,8.09,-0.01,2.57,5.5,10.5,22.5,26.5,15.87,0.16
41,15.07,15.5,17.0,7.97,0.03,2.55,4.5,9.5,21.5,25.5,15.07,0.15
42,14.26,14.5,0.0,7.85,0.07,2.53,3.5,9.5,20.5,24.5,14.26,0.15
43,13.46,14.5,0.0,7.72,0.11,2.51,2.5,8.5,19.5,23.5,13.46,0.15
44,12.65,13.5,0.0,7.58,0.16,2.5,2.5,7.5,18.5,22.5,12.64,0.16
45,11.84,12.5,0.0,7.42,0.21,2.5,1.5,6.5,17.5,21.5,11.84,0.14
46,11.04,11.5,0.0,7.26,0.27,2.51,0.0,5.5,16.5,21.5,11.04,0.15
47,10.25,10.5,0.0,7.08,0.33,2.53,0.0,4.5,15.5,20.5,10.24,0.15
48,9.47,9.5,0.0,6.88,0.41,2.57,0.0,4.5,14.5,19.5,9.45,0.15
49,8.7,8.5,0.0,6.67,0.48,2.64,0.0,3.5,13.5,18.5,8.68,0.15
50,7.96,7.5,0.0,6.44,0.57,2.73,0.0,2.5,12.5,17.5,7.94,0.14
51,7.25,7.5,0.0,6.2,0.66,2.86,0.0,1.5,12.5,16.5,7.23,0.14
52,6.56,6.5,0.0,5.95,0.76,3.02,0.0,1.5,11.5,15.5,6.54,0.13
53,5.9,5.5,0.0,5.67,0.86,3.23,0.0,0.0,10.5,14.5,5.88,0.12
54,5.27,4.5,0.0,5.39,0.98,3.5,0.0,0.0,9.5,13.5,5.25,0.11
55,4.68,3.5,0.0,5.1,1.11,3.83,0.0,0.0,8.5,12.5,4.66,0.1
56,4.13,3.5,0.0,4.8,1.24,4.23,0.0,0.0,7.5,11.5,4.12,0.1
57,3.63,2.5,0.0,4.5,1.38,4.71,0.0,0.0,6.5,10.5,3.61,0.08
58,3.17,1.5,0.0,4.2,1.54,5.27,0.0,0.0,5.5,9.5,3.16,0.08
59,2.76,1.5,0.0,3.91,1.69,5.93,0.0,0.0,5.5,8.5,2.75,0.07
60,2.41,0.0,0.0,3.64,1.86,6.67,0.0,0.0,4.5,8.5,2.4,0.06
61,2.1,0.0,0.0,3.39,2.02,7.48,0.0,0.0,3.5,7.5,2.1,0.06
62,1.85,0.0,0.0,3.16,2.18,8.35,0.0,0.0,3.5,6.5,1.84,0.05
63,1.63,0.0,0.0,2.96,2.35,9.28,0.0,0.0,2.5,6.5,1.62,0.05
64,1.44,0.0,0.0,2.77,2.51,10.31,0.0,0.0,2.5,5.5,1.43,0.04
65,1.26,0.0,0.0,2.59,2.7,11.49,0.0,0.0,1.5,5.5,1.26,0.04
66,1.1,0.0,0.0,2.4,2.9,12.93,0.0,0.0,1.5,4.5,1.1,0.04
67,0.95,0.0,0.0,2.22,3.13,14.67,0.0,0.0,0.0,4.5,0.95,0.04
68,0.82,0.0,0.0,2.05,3.38,16.72,0.0,0.0,0.0,3.5,0.81,0.03
69,0.7,0.0,0.0,1.88,3.64,19.06,0.0,0.0,0.0,3.5,0.7,0.03
70,0.6,0.0,0.0,1.73,3.92,21.72,0.0,0.0,0.0,2.5,0.6,0.03
71,0.51,0.0,0.0,1.59,4.22,24.83,0.0,0.0,0.0,2.5,0.51,0.02
72,0.44,0.0,0.0,1.46,4.56,28.57,0.0,0.0,0.0,1.5,0.44,0.02
73,0.37,0.0,0.0,1.32,4.94,33.14,0.0,0.0,0.0,1.5,0.37,0.02
74,0.31,0.0,0.0,1.2,5.37,38.75,0.0,0.0,0.0,0.0,0.31,0.02
75,0.26,0.0,0.0,1.08,5.85,45.59,0.0,0.0,0.0,0.0,0.25,0.01
76,0.21,0.0,0.0,0.97,6.38,53.79,0.0,0.0,0.0,0.0,0.21,0.01
77,0.17,0.0,0.0,0.87,6.96,63.65,0.0,0.0,0.0,0.0,0.17,0.01
78,0.14,0.0,0.0,0.78,7.62,75.75,0.0,0.0,0.0,0.0,0.14,0.01
79,0.12,0.0,0.0,0.69,8.34,90.33,0.0,0.0,0.0,0.0,0.11,0.0
80,0.09,0.0,0.0,0.62,9.09,106.97,0.0,0.0,0.0,0.0,0.09,0.0
81,0.08,0.0,0.0,0.55,9.87,125.94,0.0,0.0,0.0,0.0,0.08,0.0
82,0.06,0.0,0.0,0.5,10.74,148.61,0.0,0.0,0.0,0.0,0.06,0.0
83,0.05,0.0,0.0,0.44,11.74,177.27,0.0,0.0,0.0,0.0,0.05,0.0
84,0.04,0.0,0.0,0.39,12.9,213.71,0.0,0.0,0.0,0.0,0.04,0.0
85,0.03,0.0,0.0,0.34,14.2,258.44,0.0,0.0,0.0,0.0,0.03,0.0
86,0.03,0.0,0.0,0.3,15.6,311.46,0.0,0.0,0.0,0.0,0.03,0.0
87,0.02,0.0,0.0,0.27,17.07,372.44,0.0,0.0,0.0,0.0,0.02,0.0
88,0.02,0.0,0.0,0.24,18.68,445.83,0.0,0.0,0.0,0.0,0.02,0.0
89,0.01,0.0,0.0,0.21,20.53,538.08,0.0,0.0,0.0,0.0,0.01,0.0
90,0.01,0.0,0.0,0.18,22.61,653.14,0.0,0.0,0.0,0.0,0.01,0.0
